filing_id,politician,member_status,state_district,source_pdf,source_year,transaction_number_in_filing,owner,asset_v8_2_cleaned,asset_v8_1,ticker_v8_2_cleaned,ticker_v8_1,asset_type,transaction_type,transaction_date,notification_date,amount_min,amount_max,amount_exact,amount_category,amount_status,filing_status,subholding,location,description,comments,page,last_page,page_parse_method,page_recovery_used,filing_page_completeness_issue,suspected_missed_pages,page_continuation_used,duplicate_geometry_rows_merged,possible_adjacent_same_signature,row_shaded,geometry_quality_score,unicode_repair_applied,unicode_repair_count,needs_review,original_pdf_url,review_level,review_reason,owner_raw,asset_raw,asset_lookup_context,transaction_type_raw,transaction_date_raw,notification_date_raw,amount_raw,continuation_raw,detail_raw,review_reason_v8_1,review_level_v8_1,needs_review_v8_1,geometry_quality_score_v8_1,ticker_candidate_raw,ticker_parse_status,ticker_validation_source,ticker_changed,asset_changed_by_ticker_resolver,raw_date_has_extra_text,raw_date_prefix,date_prefix_disagrees,amount_exact_before_p2,amount_status_before_p2
20026533,Hon. Josh Gottheimer,Member,NJ05,20026533.pdf,2025,1,JT,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,BABA,BABA,ST,S,2024-12-16,2025-01-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Morgan Stanley - Select UMA Account # 1,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026533.pdf,,,JT,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share (BABA) [ST] Filing Status: New Subholding Of: Morgan Stanley - Select,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share (BABA) [ST],S UMA Account # 1,12/16/2024 1,01/07/2025,"$1,001 - $15,000",,"JT Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share (BABA) [ST] S 12/16/2024 01/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1",,,False,100,BABA,accepted,house_ptr_structure+v8_1,False,False,True,12/16/2024,False,,valid_range
20026533,Hon. Josh Gottheimer,Member,NJ05,20026533.pdf,2025,2,JT,Ambev S.A. American Depositary Shares,Ambev S.A. American Depositary Shares,ABEV,ABEV,ST,S (partial),2024-12-27,2025-01-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Morgan Stanley - Select UMA Account # 1,,,,1,1,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026533.pdf,,,JT,Ambev S.A. American Depositary Shares (ABEV) [ST],Ambev S.A. American Depositary Shares (ABEV) [ST],S (partial),12/27/2024,01/07/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1,"JT Ambev S.A. American Depositary Shares (ABEV) [ST] S (partial) 12/27/2024 01/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1",,,False,100,ABEV,accepted,house_ptr_structure+v8_1,False,False,False,12/27/2024,False,,valid_range
20026533,Hon. Josh Gottheimer,Member,NJ05,20026533.pdf,2025,3,JT,Apple Inc. - Common Stock,Apple Inc. - Common Stock,AAPL,AAPL,ST,P,2024-12-19,2025-01-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Morgan Stanley - Select UMA Account # 1,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026533.pdf,,,JT,Apple Inc. - Common Stock (AAPL) [ST] Filing Status: New Subholding Of: Morgan Stanley - Select,Apple Inc. - Common Stock (AAPL) [ST],P UMA Account # 1,12/19/2024 1,01/07/2025,"$1,001 - $15,000",,"JT Apple Inc. - Common Stock (AAPL) [ST] P 12/19/2024 01/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1",,,False,100,AAPL,accepted,house_ptr_structure+v8_1,False,False,True,12/19/2024,False,,valid_range
20026533,Hon. Josh Gottheimer,Member,NJ05,20026533.pdf,2025,4,JT,"Block, Inc. Class A Common Stock,","Block, Inc. Class A Common Stock,",SQ,SQ,ST,P,2024-12-30,2025-01-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Morgan Stanley - Select UMA Account # 1,,,,1,1,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026533.pdf,,,JT,"Block, Inc. Class A Common Stock, (SQ) [ST]","Block, Inc. Class A Common Stock, (SQ) [ST]",P,12/30/2024,01/07/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1,"JT Block, Inc. Class A Common Stock, (SQ) [ST] P 12/30/2024 01/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1",,,False,100,SQ,accepted,house_ptr_structure+v8_1,False,False,False,12/30/2024,False,,valid_range
20026533,Hon. Josh Gottheimer,Member,NJ05,20026533.pdf,2025,5,JT,"Cadre Holdings, Inc. Common Stock","Cadre Holdings, Inc. Common Stock",CDRE,CDRE,ST,S,2024-12-27,2025-01-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Morgan Stanley - Select UMA Account # 1,,,,1,1,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026533.pdf,,,JT,"Cadre Holdings, Inc. Common Stock (CDRE) [ST] Filing Status: New Subholding Of: Morgan Stanley - Select","Cadre Holdings, Inc. Common Stock (CDRE) [ST]",S UMA Account # 1,12/27/2024 1,01/07/2025,"$1,001 - $15,000",,"JT Cadre Holdings, Inc. Common Stock (CDRE) [ST] S 12/27/2024 01/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1",,,False,100,CDRE,accepted,house_ptr_structure+v8_1,False,False,True,12/27/2024,False,,valid_range
20026533,Hon. Josh Gottheimer,Member,NJ05,20026533.pdf,2025,6,JT,"Cadre Holdings, Inc. Common Stock","Cadre Holdings, Inc. Common Stock",CDRE,CDRE,ST,P,2024-12-06,2025-01-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New $200?,Morgan Stanley - Select UMA Account # 1,,,,1,2,table,False,False,,True,0,False,True,98,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026533.pdf,,,JT,"Cadre Holdings, Inc. Common Stock (CDRE) [ST]","Cadre Holdings, Inc. Common Stock (CDRE) [ST]",P,12/06/2024,01/07/2025,"$1,001 - $15,000",Filing Status: New $200? Subholding Of: Morgan Stanley - Select UMA Account # 1,"JT Cadre Holdings, Inc. Common Stock (CDRE) [ST] P 12/06/2024 01/07/2025 $1,001 - $15,000 Filing Status: New $200? Subholding Of: Morgan Stanley - Select UMA Account # 1",,,False,98,CDRE,accepted,house_ptr_structure+v8_1,False,False,False,12/06/2024,False,,valid_range
20026533,Hon. Josh Gottheimer,Member,NJ05,20026533.pdf,2025,7,JT,Coca-Cola Company,Coca-Cola Company,KO,KO,ST,S,2024-12-16,2025-01-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Morgan Stanley - Select UMA Account # 1,,,,2,2,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026533.pdf,,,JT,Coca-Cola Company (KO) [ST] Filing Status: New Subholding Of: Morgan Stanley - Select,Coca-Cola Company (KO) [ST],S UMA Account # 1,12/16/2024 1,01/07/2025,"$1,001 - $15,000",,"JT Coca-Cola Company (KO) [ST] S 12/16/2024 01/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1",,,False,100,KO,accepted,house_ptr_structure+v8_1,False,False,True,12/16/2024,False,,valid_range
20026533,Hon. Josh Gottheimer,Member,NJ05,20026533.pdf,2025,8,JT,COLOPLAST AS SP/ADR,COLOPLAST AS SP/ADR,CLPBY,CLPBY,ST,S,2024-12-27,2025-01-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Morgan Stanley - Select UMA Account # 1,,,,2,2,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026533.pdf,,,JT,COLOPLAST AS SP/ADR (CLPBY) [ST],COLOPLAST AS SP/ADR (CLPBY) [ST],S,12/27/2024,01/07/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1,"JT COLOPLAST AS SP/ADR (CLPBY) [ST] S 12/27/2024 01/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1",,,False,100,CLPBY,accepted,house_ptr_structure+v8_1,False,False,False,12/27/2024,False,,valid_range
20026533,Hon. Josh Gottheimer,Member,NJ05,20026533.pdf,2025,9,JT,"D.R. Horton, Inc. Common Stock","D.R. Horton, Inc. Common Stock",DHI,DHI,ST,S (partial),2024-12-16,2025-01-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Morgan Stanley - Select UMA Account # 1,,,,2,2,table,False,False,,False,0,False,False,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026533.pdf,,,JT,"D.R. Horton, Inc. Common Stock (DHI) [ST] Filing Status: New Subholding Of: Morgan Stanley - Select","D.R. Horton, Inc. Common Stock (DHI) [ST]",S (partial) UMA Account # 1,12/16/2024 1,01/07/2025,"$1,001 - $15,000",,"JT D.R. Horton, Inc. Common Stock (DHI) [ST] S (partial) 12/16/2024 01/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1",,,False,100,DHI,accepted,house_ptr_structure+v8_1,False,False,True,12/16/2024,False,,valid_range
20026533,Hon. Josh Gottheimer,Member,NJ05,20026533.pdf,2025,10,JT,"Dominion Energy, Inc. Common Stock","Dominion Energy, Inc. Common Stock",D,D,ST,S (partial),2024-12-16,2025-01-07,1001.0,15000.0,,"$1,001 - $15,000",valid_range,New,Morgan Stanley - Select UMA Account # 1,,,,2,2,table,False,False,,False,0,False,True,100,True,20,False,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026533.pdf,,,JT,"Dominion Energy, Inc. Common Stock (D) [ST]","Dominion Energy, Inc. Common Stock (D) [ST]",S (partial),12/16/2024,01/07/2025,"$1,001 - $15,000",Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1,"JT Dominion Energy, Inc. Common Stock (D) [ST] S (partial) 12/16/2024 01/07/2025 $1,001 - $15,000 Filing Status: New Subholding Of: Morgan Stanley - Select UMA Account # 1",,,False,100,D,accepted,house_ptr_structure+v8_1,False,False,False,12/16/2024,False,,valid_range
